rep	sampleSize	alpha	mu
1	300	0.400000	0.009533
2	300	0.400000	0.004163
3	300	0.400000	0.003384
4	300	0.400000	0.004617
5	300	0.400000	0.002751
6	300	0.400000	0.002480
7	300	0.400000	0.003051
8	300	0.400000	0.003051
9	300	0.400000	0.007750
10	300	0.400000	0.002016
11	300	0.400000	0.001332
12	300	0.400000	0.024215
13	300	0.400000	0.040645
14	300	0.400000	0.003753
15	300	0.400000	0.005680
16	300	0.400000	0.005121
17	300	0.400000	0.024215
18	300	0.400000	0.001083
19	300	0.400000	0.001639
20	300	0.400000	0.005121
21	300	0.400000	0.003051
22	300	0.400000	0.005680
23	300	0.400000	0.007750
24	300	0.400000	0.001478
25	300	0.400000	0.004163
26	300	0.400000	0.016001
27	300	0.400000	0.003384
28	300	0.400000	0.001083
29	300	0.400000	0.011728
30	300	0.400000	0.005680
31	300	0.400000	0.013007
32	300	0.400000	0.005680
33	300	0.400000	0.019685
34	300	0.400000	0.001201
35	300	0.400000	0.006987
36	300	0.400000	0.003384
37	300	0.400000	0.003753
38	300	0.400000	0.008595
39	300	0.400000	0.006987
40	300	0.400000	0.004163
41	300	0.400000	0.003051
42	300	0.400000	0.007750
43	300	0.400000	0.001332
44	300	0.400000	0.001818
45	300	0.400000	0.050000
46	300	0.400000	0.014427
47	300	0.400000	0.004163
48	300	0.400000	0.005121
49	300	0.400000	0.001818
50	300	0.400000	0.004617
51	300	0.400000	0.002751
52	300	0.400000	0.001818
53	300	0.400000	0.003051
54	300	0.400000	0.008595
55	300	0.400000	0.029789
56	300	0.400000	0.005680
57	300	0.400000	0.008595
58	300	0.400000	0.019685
59	300	0.400000	0.005121
60	300	0.400000	0.003051
61	300	0.400000	0.001818
62	300	0.400000	0.002016
63	300	0.400000	0.006300
64	300	0.400000	0.002236
65	300	0.400000	0.005121
66	300	0.400000	0.005680
67	300	0.400000	0.004617
68	300	0.400000	0.001639
69	300	0.400000	0.006300
70	300	0.400000	0.005680
71	300	0.400000	0.006987
72	300	0.400000	0.003384
73	300	0.400000	0.004163
74	300	0.400000	0.006987
75	300	0.400000	0.002236
76	300	0.400000	0.002236
77	300	0.400000	0.004617
78	300	0.400000	0.003051
79	300	0.400000	0.002480
80	300	0.400000	0.002480
81	300	0.400000	0.007750
82	300	0.400000	0.005680
83	300	0.400000	0.004617
84	300	0.400000	0.002480
85	300	0.400000	0.016001
86	300	0.400000	0.002236
87	300	0.400000	0.006300
88	300	0.400000	0.005680
89	300	0.400000	0.002751
90	300	0.400000	0.007750
91	300	0.400000	0.009533
92	300	0.400000	0.002236
93	300	0.400000	0.007750
94	300	0.400000	0.010574
95	300	0.400000	0.010574
96	300	0.400000	0.005680
97	300	0.400000	0.007750
98	300	0.400000	0.011728
99	300	0.400000	0.002480
100	300	0.400000	0.002236
1	1000	0.400000	0.003384
2	1000	0.400000	0.000880
3	1000	0.400000	0.001639
4	1000	0.400000	0.001639
5	1000	0.400000	0.001478
6	1000	0.400000	0.000582
7	1000	0.400000	0.001332
8	1000	0.400000	0.001201
9	1000	0.400000	0.004163
10	1000	0.400000	0.000347
11	1000	0.400000	0.000384
12	1000	0.400000	0.007750
13	1000	0.400000	0.017748
14	1000	0.400000	0.001201
15	1000	0.400000	0.002236
16	1000	0.400000	0.001818
17	1000	0.400000	0.010574
18	1000	0.400000	0.000716
19	1000	0.400000	0.000524
20	1000	0.400000	0.002236
21	1000	0.400000	0.001201
22	1000	0.400000	0.002236
23	1000	0.400000	0.002751
24	1000	0.400000	0.000880
25	1000	0.400000	0.001201
26	1000	0.400000	0.005680
27	1000	0.400000	0.001201
28	1000	0.400000	0.000582
