model	sampleSize	binLeft	binRight	count	expected	chiSq	chiP	ksD	ksP	pitL1	nScored	nZeroed
ccd1	300	0.000000	0.050000	1068	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.050000	0.100000	1136	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.100000	0.150000	1104	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.150000	0.200000	1066	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.200000	0.250000	1058	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.250000	0.300000	1067	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.300000	0.350000	1076	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.350000	0.400000	1049	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.400000	0.450000	1044	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.450000	0.500000	1125	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.500000	0.550000	1078	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.550000	0.600000	1083	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.600000	0.650000	1018	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.650000	0.700000	1137	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.700000	0.750000	1159	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.750000	0.800000	1009	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.800000	0.850000	1083	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.850000	0.900000	995	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.900000	0.950000	1040	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	300	0.950000	1.000000	1036	1071.550000	34.280202	0.0170272	0.009447	0.0433582	0.031454	21431	8569
ccd1	1000	0.000000	0.050000	4394	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.050000	0.100000	4441	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.100000	0.150000	4387	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.150000	0.200000	4359	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.200000	0.250000	4390	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.250000	0.300000	4410	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.300000	0.350000	4339	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.350000	0.400000	4256	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.400000	0.450000	4304	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.450000	0.500000	4373	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.500000	0.550000	4252	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.550000	0.600000	4307	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.600000	0.650000	4253	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.650000	0.700000	4239	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.700000	0.750000	4184	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.750000	0.800000	4087	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.800000	0.850000	4177	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.850000	0.900000	4139	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.900000	0.950000	4229	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	1000	0.950000	1.000000	4172	4284.600000	45.187135	0.000645232	0.009916	9.55079e-08	0.020025	85692	14308
ccd1	3000	0.000000	0.050000	14288	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.050000	0.100000	14197	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.100000	0.150000	14049	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.150000	0.200000	14190	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.200000	0.250000	14333	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.250000	0.300000	14094	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.300000	0.350000	14111	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.350000	0.400000	13936	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.400000	0.450000	13864	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.450000	0.500000	14038	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.500000	0.550000	13769	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.550000	0.600000	13726	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.600000	0.650000	14029	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.650000	0.700000	13674	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.700000	0.750000	13540	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.750000	0.800000	13445	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.800000	0.850000	13539	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.850000	0.900000	13754	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.900000	0.950000	13596	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
ccd1	3000	0.950000	1.000000	13102	13863.700000	140.122637	0.00000	0.009082	2.13718e-13	0.018958	277274	22726
regccd	300	0.000000	0.050000	1383	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.050000	0.100000	1429	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.100000	0.150000	1372	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.150000	0.200000	1334	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.200000	0.250000	1356	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.250000	0.300000	1386	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.300000	0.350000	1353	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.350000	0.400000	1380	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.400000	0.450000	1311	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.450000	0.500000	1317	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.500000	0.550000	1270	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.550000	0.600000	1286	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.600000	0.650000	1347	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.650000	0.700000	1368	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.700000	0.750000	1274	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.750000	0.800000	1234	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.800000	0.850000	1307	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.850000	0.900000	1235	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
regccd	300	0.900000	0.950000	1366	1331.350000	39.295865	0.00404389	0.013552	0.000112113	0.032234	26627	3373
