model	sampleSize	binLeft	binRight	count	expected	chiSq	chiP	ksD	ksP	pitL1	nScored	nZeroed
kreg	300	0.000000	0.050000	1681	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.050000	0.100000	1666	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.100000	0.150000	1580	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.150000	0.200000	1605	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.200000	0.250000	1572	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.250000	0.300000	1625	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.300000	0.350000	1637	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.350000	0.400000	1503	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.400000	0.450000	1460	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.450000	0.500000	1470	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.500000	0.550000	1458	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.550000	0.600000	1445	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.600000	0.650000	1525	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.650000	0.700000	1357	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.700000	0.750000	1359	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.750000	0.800000	1292	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.800000	0.850000	1278	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.850000	0.900000	1307	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.900000	0.950000	1311	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	300	0.950000	1.000000	1869	1500.000000	311.501333	0.00000	0.029563	8.35998e-14	0.084200	30000	0
kreg	1000	0.000000	0.050000	5320	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.050000	0.100000	5394	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.100000	0.150000	5297	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.150000	0.200000	5330	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.200000	0.250000	5273	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.250000	0.300000	5120	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.300000	0.350000	5244	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.350000	0.400000	5146	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.400000	0.450000	5151	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.450000	0.500000	5095	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.500000	0.550000	5065	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.550000	0.600000	4871	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.600000	0.650000	4979	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.650000	0.700000	4697	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
kreg	1000	0.700000	0.750000	4633	5000.000000	355.455200	0.00000	0.024710	6.03884e-12	0.051700	100000	0
