rep	sampleSize	alpha	mu
1	300	0.553088	0.010456
2	300	0.485521	0.004336
3	300	0.518036	0.003566
4	300	0.465280	0.004336
5	300	0.473397	0.003234
6	300	0.273342	0.001631
7	300	0.402741	0.003932
8	300	0.737707	0.002659
9	300	0.312731	0.009482
10	300	0.851791	0.001216
11	300	0.243703	0.001479
12	300	0.605588	0.027805
13	300	0.318183	0.041117
14	300	0.419701	0.003566
15	300	0.272594	0.006412
16	300	0.421167	0.007798
17	300	0.481449	0.022865
18	300	0.316408	0.001341
19	300	0.612943	0.001000
20	300	0.431278	0.004782
21	300	0.351395	0.003566
22	300	0.328060	0.005815
23	300	0.347655	0.007071
24	300	0.618995	0.001631
25	300	0.802565	0.004782
26	300	0.352913	0.017051
27	300	0.463950	0.003932
28	300	0.647977	0.001631
29	300	0.400880	0.011531
30	300	0.698365	0.005273
31	300	0.460877	0.011531
32	300	0.474374	0.004782
33	300	0.286038	0.020735
34	300	0.891132	0.001479
35	300	0.400140	0.007798
36	300	0.820327	0.002411
37	300	0.543802	0.003932
38	300	0.766612	0.007071
39	300	0.428866	0.007071
40	300	0.566698	0.004336
41	300	0.401919	0.002932
42	300	0.482673	0.008599
43	300	0.732442	0.001103
44	300	0.643961	0.002187
45	300	0.334498	0.050000
46	300	0.627694	0.014022
47	300	0.412130	0.003234
48	300	0.559549	0.003932
49	300	0.723333	0.003234
50	300	0.394400	0.004782
51	300	0.483608	0.002659
52	300	0.623856	0.001798
53	300	0.405257	0.002932
54	300	0.431351	0.007798
55	300	0.402553	0.030662
56	300	0.608686	0.005273
57	300	0.472284	0.009482
58	300	0.320069	0.017051
59	300	0.569891	0.003932
60	300	0.796242	0.003234
61	300	0.303289	0.001631
62	300	0.175915	0.002187
63	300	0.675157	0.005815
64	300	0.784409	0.002411
65	300	0.435935	0.003932
66	300	0.287980	0.006412
67	300	0.225942	0.004336
68	300	0.637672	0.001983
69	300	0.381528	0.005815
70	300	0.406049	0.005815
71	300	0.422414	0.007071
72	300	0.301237	0.003234
73	300	0.663679	0.003932
74	300	0.402658	0.006412
75	300	0.345461	0.001798
76	300	0.276650	0.002411
77	300	0.491483	0.005273
78	300	0.458872	0.003566
79	300	0.387156	0.002659
80	300	0.580008	0.002187
81	300	0.506894	0.007798
82	300	0.240218	0.005273
83	300	0.523096	0.004782
84	300	0.671680	0.002659
85	300	0.269699	0.015462
86	300	0.509674	0.001983
87	300	0.499549	0.004336
88	300	0.351027	0.006412
89	300	0.648444	0.001798
90	300	0.474218	0.008599
91	300	0.593545	0.010456
92	300	0.456479	0.001798
93	300	0.444524	0.007798
94	300	0.354788	0.010456
95	300	0.413917	0.010456
96	300	0.403962	0.005815
97	300	0.466919	0.007071
98	300	0.537860	0.011531
99	300	0.254121	0.002411
1	1000	0.378131	0.003566
2	1000	0.489144	0.001000
3	1000	0.400544	0.001798
4	1000	0.481609	0.001479
5	1000	0.332734	0.001341
6	1000	0.436293	0.001000
7	1000	0.291295	0.001631
8	1000	0.620534	0.001216
9	1000	0.326070	0.004336
10	1000	0.762746	0.001000
11	1000	0.462332	0.001000
12	1000	0.469183	0.007798
13	1000	0.300429	0.018803
14	1000	0.512393	0.001000
15	1000	0.349064	0.002187
16	1000	0.435013	0.001798
17	1000	0.317550	0.010456
18	1000	0.375832	0.001000
19	1000	0.314014	0.001000
20	1000	0.350372	0.002411
21	1000	0.317325	0.001216
22	1000	0.353137	0.002932
23	1000	0.394144	0.002659
24	1000	0.389300	0.001000
25	1000	0.742110	0.001341
26	1000	0.294721	0.005273
27	1000	0.521651	0.001216
28	1000	0.453731	0.001000
29	1000	0.349926	0.003566
30	1000	0.554088	0.001631
31	1000	0.333112	0.004336
32	1000	0.469381	0.002659
33	1000	0.241767	0.009482
34	1000	0.741438	0.001000
35	1000	0.355742	0.002659
36	1000	0.685281	0.001000
37	1000	0.595368	0.001341
38	1000	0.610233	0.002187
39	1000	0.396078	0.001983
40	1000	0.418207	0.001341
41	1000	0.385537	0.001216
42	1000	0.488692	0.002659
43	1000	0.123716	0.001000
44	1000	0.330913	0.001341
45	1000	0.353698	0.025214
46	1000	0.528309	0.004336
47	1000	0.375106	0.001341
48	1000	0.552038	0.001216
49	1000	0.455393	0.001000
50	1000	0.389659	0.001798
51	1000	0.442351	0.001341
52	1000	0.718017	0.001000
53	1000	0.337501	0.001479
54	1000	0.397924	0.002187
55	1000	0.294999	0.012715
56	1000	0.587272	0.001479
57	1000	0.439622	0.002659
58	1000	0.270296	0.007071
59	1000	0.385679	0.001798
60	1000	0.700072	0.001479
61	1000	0.596411	0.001000
62	1000	0.262723	0.001103
63	1000	0.797868	0.001479
64	1000	0.390517	0.001479
65	1000	0.563564	0.001000
66	1000	0.316267	0.001798
67	1000	0.421592	0.001103
68	1000	0.490267	0.001216
69	1000	0.373824	0.002659
70	1000	0.407696	0.001216
71	1000	0.457632	0.003566
72	1000	0.299867	0.001103
73	1000	0.652529	0.001000
