model	sampleSize	binLeft	binRight	count	expected	chiSq	chiP	ksD	ksP	pitL1	nScored	nZeroed
kreg	300	0.000000	0.050000	1730	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.050000	0.100000	1703	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.100000	0.150000	1611	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.150000	0.200000	1644	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.200000	0.250000	1599	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.250000	0.300000	1627	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.300000	0.350000	1592	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.350000	0.400000	1574	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.400000	0.450000	1405	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.450000	0.500000	1438	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.500000	0.550000	1491	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.550000	0.600000	1457	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.600000	0.650000	1436	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.650000	0.700000	1311	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.700000	0.750000	1334	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.750000	0.800000	1270	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.800000	0.850000	1238	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.850000	0.900000	1201	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.900000	0.950000	1249	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	300	0.950000	1.000000	1790	1485.000000	405.894949	0.00000	0.040464	3.72369e-13	0.101751	29700	0
kreg	1000	0.000000	0.050000	5281	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.050000	0.100000	5410	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.100000	0.150000	5222	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.150000	0.200000	5304	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.200000	0.250000	5269	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.250000	0.300000	5185	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.300000	0.350000	5156	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.350000	0.400000	5088	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.400000	0.450000	5134	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.450000	0.500000	5105	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.500000	0.550000	5004	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.550000	0.600000	4845	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.600000	0.650000	4912	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.650000	0.700000	4673	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.700000	0.750000	4567	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.750000	0.800000	4638	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.800000	0.850000	4605	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.850000	0.900000	4383	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.900000	0.950000	4231	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	1000	0.950000	1.000000	4988	4950.000000	422.600808	0.00000	0.027803	6.95000e-12	0.055475	99000	0
kreg	3000	0.000000	0.050000	15550	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.050000	0.100000	15542	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.100000	0.150000	15344	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.150000	0.200000	15531	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.200000	0.250000	15606	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.250000	0.300000	15355	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.300000	0.350000	15365	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.350000	0.400000	15244	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.400000	0.450000	15102	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.450000	0.500000	15106	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.500000	0.550000	15133	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.550000	0.600000	15097	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.600000	0.650000	14908	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.650000	0.700000	14638	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.700000	0.750000	14427	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.750000	0.800000	14471	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.800000	0.850000	14383	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.850000	0.900000	14037	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.900000	0.950000	13044	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
kreg	3000	0.950000	1.000000	13117	14850.000000	721.123367	0.00000	0.020386	9.85545e-12	0.039279	297000	0
ccd1	300	0.000000	0.050000	1061	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.050000	0.100000	1125	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.100000	0.150000	1073	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.150000	0.200000	1068	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.200000	0.250000	1040	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.250000	0.300000	1056	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.300000	0.350000	1067	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.350000	0.400000	1035	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.400000	0.450000	1049	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.450000	0.500000	1102	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.500000	0.550000	1053	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.550000	0.600000	1064	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.600000	0.650000	1039	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.650000	0.700000	1107	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.700000	0.750000	1143	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.750000	0.800000	992	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.800000	0.850000	1068	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.850000	0.900000	988	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.900000	0.950000	1023	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
ccd1	300	0.950000	1.000000	1017	1058.500000	28.420406	0.0756653	0.009952	0.0299939	0.027681	21170	8530
