mu	pnovel	empirical	meanLogP
0.001000	0.069324	0.160000	-56.277851
0.001061	0.073383	0.160000	-56.269108
0.001125	0.077671	0.160000	-56.260629
0.001194	0.082198	0.160000	-56.252433
0.001266	0.086976	0.160000	-56.244535
0.001343	0.092018	0.160000	-56.236955
0.001425	0.097336	0.160000	-56.229711
0.001512	0.102945	0.160000	-56.222825
0.001604	0.108857	0.160000	-56.216317
0.001701	0.115086	0.160000	-56.210212
0.001805	0.121648	0.160000	-56.204532
0.001914	0.128556	0.160000	-56.199306
0.002031	0.135825	0.160000	-56.194560
0.002154	0.143472	0.160000	-56.190323
0.002285	0.151510	0.160000	-56.186627
0.002424	0.159956	0.160000	-56.183505
0.002572	0.168825	0.160000	-56.180991
0.002728	0.178132	0.160000	-56.179123
0.002894	0.187893	0.160000	-56.177941
0.003070	0.198123	0.160000	-56.177486
0.003257	0.208836	0.160000	-56.177804
0.003455	0.220046	0.160000	-56.178940
0.003665	0.231766	0.160000	-56.180945
0.003888	0.244010	0.160000	-56.183874
0.004125	0.256787	0.160000	-56.187781
0.004375	0.270109	0.160000	-56.192727
0.004642	0.283983	0.160000	-56.198776
0.004924	0.298417	0.160000	-56.205996
0.005223	0.313415	0.160000	-56.214459
0.005541	0.328980	0.160000	-56.224240
0.005878	0.345110	0.160000	-56.235421
0.006236	0.361804	0.160000	-56.248088
0.006615	0.379054	0.160000	-56.262333
0.007017	0.396850	0.160000	-56.278253
0.007444	0.415179	0.160000	-56.295950
0.007897	0.434021	0.160000	-56.315536
0.008377	0.453355	0.160000	-56.337126
0.008886	0.473153	0.160000	-56.360844
0.009427	0.493382	0.160000	-56.386823
0.010000	0.514004	0.160000	-56.415201
